game_id,play_id,down,yards_to_go,yardline_side,yardline_number,possession_team,route_of_targeted_receiver
2023090700,3461,3,12,DET,23,DET,IN
2023090700,461,1,10,DET,34,DET,POST
2023090700,1940,2,10,DET,42,DET,OUT
2023090700,1711,1,10,DET,30,KC,CORNER
2023090700,1588,1,10,KC,43,KC,POST
2023090700,101,3,3,DET,32,DET,CORNER
2023090700,3566,1,10,KC,47,DET,HITCH
2023090700,902,1,10,DET,25,KC,HITCH
2023090700,1069,1,10,DET,25,DET,IN
2023090700,2261,3,10,DET,7,DET,CROSS
2023090700,2435,1,10,KC,25,KC,FLAT
2023090700,2906,1,10,DET,25,KC,CROSS
2023090700,713,2,8,KC,27,KC,OUT
2023090700,1741,1,4,DET,4,KC,HITCH
2023090700,3971,2,20,KC,35,KC,HITCH
2023090700,3032,1,10,DET,25,DET,OUT
2023090700,361,3,7,DET,12,DET,HITCH
2023090700,2638,1,10,DET,41,DET,CROSS
2023090700,736,3,8,KC,27,KC,CORNER
2023090700,1154,2,7,DET,39,DET,CROSS
2023090700,1812,1,10,DET,25,DET,IN
2023090700,3089,2,22,DET,13,DET,POST
2023090700,1618,2,10,KC,43,KC,IN
2023090700,2306,1,10,KC,42,KC,CROSS
2023090700,2141,3,10,KC,37,KC,CROSS
2023090700,3324,3,2,DET,21,KC,FLAT
2023090700,1001,3,1,DET,1,KC,HITCH
2023090700,4041,4,25,KC,30,KC,CORNER
2023090700,1837,2,5,DET,30,DET,CROSS
2023090700,3486,1,10,DET,41,DET,FLAT
2023090700,1679,3,17,KC,36,KC,GO
2023090700,1494,2,5,DET,46,DET,IN
2023090700,1300,2,20,KC,27,DET,FLAT
2023090700,2487,1,10,KC,35,KC,POST
2023090700,3994,3,20,KC,35,KC,CROSS
2023090700,877,2,5,DET,39,KC,HITCH
2023090700,436,2,9,DET,21,DET,SLANT
2023090700,1201,2,11,KC,41,DET,SLANT
2023090700,2825,1,10,KC,22,KC,FLAT
2023090700,2613,2,4,DET,23,DET,IN
2023090700,2510,2,10,KC,35,KC,HITCH
2023090700,194,3,2,KC,21,KC,ANGLE
